ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
274	10	1	2	0.000000	23.400000	11.600000	0.000000	0.000000	0	0	0
275	11	1	2	0.000000	14.272727	10.181818	0.000000	0.000000	0	0	0
276	63	2	0	0.000000	1.126984	1.126984	0.000000	0.000000	0	0	0
277	9	1	1	0.000000	1.777778	1.777778	0.000000	0.000000	0	0	0
278	23	1	1	0.000000	19.608696	12.130435	0.000000	0.000000	0	0	0
279	47	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
280	3	1	2	0.000000	14.333333	11.333333	0.000000	0.000000	0	0	0
281	22	1	2	0.000000	15.181818	13.318182	0.000000	0.000000	0	0	0
282	13	1	2	0.000000	21.461538	16.230769	0.000000	0.000000	0	0	0
283	45	1	2	0.000000	19.777778	14.400000	0.000000	0.000000	0	0	0
284	74	1	0	0.000000	1.148649	1.148649	0.000000	0.000000	0	0	0
285	82	1	0	0.000000	1.060976	1.060976	0.000000	0.000000	0	0	0
286	30	1	1	0.000000	19.566667	11.366667	0.000000	0.000000	0	0	0
287	57	1	1	0.000000	15.719298	11.912281	0.000000	0.000000	0	0	0
288	28	1	2	0.000000	12.142857	8.571429	0.000000	0.000000	0	0	0
289	16	1	2	0.000000	11.375000	9.812500	0.000000	0.000000	0	0	0
290	37	2	3	0.000000	21.675676	5.621622	0.000000	0.000000	0	0	0
291	38	1	2	0.000000	26.973684	15.289474	0.000000	0.000000	0	0	0
292	64	1	0	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
293	8	2	1	0.000000	15.375000	14.125000	0.000000	0.000000	0	0	0
294	46	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
295	63	3	2	0.000000	16.682540	12.476190	0.000000	0.000000	0	0	0
296	3	1	1	0.000000	25.000000	18.666667	0.000000	0.000000	0	0	0
297	1	2	2	0.000000	23.000000	19.000000	0.000000	0.000000	0	0	0
298	4	1	1	0.000000	20.250000	15.750000	0.000000	0.000000	0	0	0
299	64	0	0	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
300	22	1	2	0.000000	19.409091	12.045455	0.000000	0.000000	0	0	0
301	43	2	2	0.000000	19.186047	14.651163	0.000000	0.000000	0	0	0
302	2	2	1	0.000000	12.000000	10.000000	0.000000	0.000000	0	0	0
303	17	1	1	0.000000	12.529412	10.117647	0.000000	0.000000	0	0	0
304	3	2	2	0.000000	15.666667	12.000000	0.000000	0.000000	0	0	0
305	10	1	1	0.000000	14.300000	5.900000	0.000000	0.000000	0	0	0
